"IT_DATETIME","DS_CODE","DS_NAME","DS_DESC","DS_LAT","DS_LON","DS_ALT","BGN.S","BGN.Q_S"
"20130101_240000_000000","372_N","Zeewolde Schillinkweg","Neerslagstation (8-8)","52.302861","5.42175","-3.7","0","0"
"20130101_240000_000000","426_N","Zoetermeer","Neerslagstation (8-8)","52.067","4.526","-3.1","0","1"
"20130101_240000_000000","434_N","Groot Ammers","Neerslagstation (8-8)","51.929083","4.832833","-.6","0","0"
"20130101_240000_000000","435_N","Heemstede","Neerslagstation (8-8)","52.333361","4.654722","-4.5","0","0"
"20130101_240000_000000","437_N","Lijnden NH","Neerslagstation (8-8)","52.35075","4.756694","-4.7","0","0"
"20130101_240000_000000","438_N","Hoofddorp","Neerslagstation (8-8)","52.287111","4.664972","-4.3","0","0"
"20130101_240000_000000","439_N","Roelofarendsveen","Neerslagstation (8-8)","52.213194","4.628722","-3.4","0","1"
"20130101_240000_000000","440_N","Scheveningen","Neerslagstation (8-8)","52.118222","4.310361","3.5","0","1"
"20130101_240000_000000","441_N","Amsterdam","Neerslagstation (8-8)","52.3725","4.916639","1","0","0"
"20130101_240000_000000","442_N","Boskoop","Neerslagstation (8-8)","52.083436","4.681617","-1.79","0","0"
"20130101_240000_000000","443_N","Gouda","Neerslagstation (8-8)","52.006111","4.726583","-1.8","0","0"
"20130101_240000_000000","444_N","Katwijk Aan Den Rijn","Neerslagstation (8-8)","52.187194","4.410917","7.3","0","1"
"20130101_240000_000000","446_N","Goedereede","Neerslagstation (8-8)","51.818528","3.972389",".63","0","0"
"20130101_240000_000000","447_N","Den Bommel","Neerslag station (8-8)","51.716583","4.294944",".4","0","1"
"20130101_240000_000000","449_N","Delft","Neerslagstation (8-8)","52.008833","4.369778",".3","0","0"
"20130101_240000_000000","450_N","Numansdorp","Neerslagstation (8-8)","51.743556","4.441417",".5","0","0"
"20130101_240000_000000","453_N","Bergschenhoek","Neerslagstation (8-8)","51.980556","4.492806","-5.9","0","0"
"20130101_240000_000000","454_N","Lisse","Neerslagstation (8-8)","52.242111","4.530667",".15","0","0"
"20130101_240000_000000","455_N","Strijen","Neerslagstation (8-8)","51.762417","4.58325","-1.49","0","0"
"20130101_240000_000000","456_N","Oostvoorne","Neerslagstation (8-8)","51.907917","4.093667","1.1","0","0"
"20130101_240000_000000","458_N","Aalsmeer","Neerslagstation (8-8)","52.263944","4.769056","-4.2","0","0"
"20130101_240000_000000","461_N","Barendrecht","Neerslagstation (8-8)","51.837611","4.535139","-.7","0","1"
"20130101_240000_000000","462_N","Dirksland","Neerslagstation (8-8)","51.749389","4.0885",".64","0","0"
"20130101_240000_000000","463_N","Nieuw Helvoet","Neerslagstation (8-8)","51.836806","4.122278","-.3","0","1"
"20130101_240000_000000","464_N","Brielle","Neerslagstation (8-8)","51.901806","4.155833",".1","0","1"
"20130101_240000_000000","465_N","Oud Alblas","Neerslagstation (8-8)","51.856111","4.692306","-1.33","0","0"
"20130101_240000_000000","467_N","Poortugaal","Neerslagstation (8-8)","51.853944","4.392944",".2","0","0"
"20130101_240000_000000","469_N","Leiden","Neerslagstation (8-8)","52.138194","4.483583","-.2","0","1"
"20130101_240000_000000","470_N","Zegveld","Neerslagstation (8-8)","52.12","4.8425","-3","0","4"
"20130101_240000_000000","471_N","Ouddorp","Neerslagstation (8-8)","51.817056","3.885167","1.36","0","0"
"20130101_240000_000000","473_N","R'dam-Waalhaven","Neerslagstation (8-8)","51.892194","4.423194","4.6","0","1"
"20130101_240000_000000","474_N","Valkenburg","Neerslagstation (8-8)","52.168444","4.43525",".1","0","0"
"20130101_240000_000000","477_N","Hoek van Holland","Neerslagstation (8-8)","51.985194","4.149083","1","0","1"
"20130101_240000_000000","479_N","Maasland","Neerslagstation (8-8)","51.966222","4.254611","-1.7","0","0"
"20130101_240000_000000","480_N","Honselersdijk","Neerslagstation (8-8)","52.002028","4.245056",".2","0","0"
"20130101_240000_000000","481_N","Voorschoten","Neerslagstation (8-8)","52.132111","4.425361","-1","0","1"
"20130101_240000_000000","482_N","Hendrik Ido Ambacht","Neerslagstation (8-8)","51.831111","4.633083","-3.9","0","0"
"20130101_240000_000000","483_N","Krimpen aan de Lek","Neerslagstation (8-8)","51.895389","4.615722","-1.7","0","0"
"20130101_240000_000000","509_N","Doorn","Neerslagstation (8-8)","52.020889","5.337639","4.5","0","0"
"20130101_240000_000000","510_N","Vaassen","Neerslagstation (8-8)","52.279556","5.968917","13.8","0","0"
"20130101_240000_000000","514_N","Epe","Neerslagstation (8-8)","52.3455","5.993583","11.45","0","1"
"20130101_240000_000000","516_N","Harderwijk","Neerslagstation (8-8)","52.382972","5.579528","-3.2","0","0"
"20130101_240000_000000","523_N","Wijk bij Duurstede","Neerslagstation (8-8)","51.988194","5.300139","4","0","0"
"20130101_240000_000000","539_N","Nijmegen","Neerslagstation (8-8)","51.847944","5.889528","9.8","0","0"
"20130101_240000_000000","541_N","Arnhem","Neerslagstation (8-8)","51.996083","5.926778","36.12","0","1"
"20130101_240000_000000","542_N","Putten  (GLD)","Neerslagstation (8-8)","52.235925","5.601981","14.8","0","1"
"20130101_240000_000000","543_N","Apeldoorn","Neerslagstation (8-8)","52.231078","5.957217","16.4","0","1"
"20130101_240000_000000","546_N","Woudenberg","Neerslagstation (8-8)","52.082778","5.457611","4","0","0"
"20130101_240000_000000","547_N","Nijkerk","Neerslagstation (8-8)","52.23925","5.483806",".45","0","0"
"20130101_240000_000000","548_N","Loenen aan de Vecht","Neerslagstation (8-8)","52.193833","5.010972","-.93","0","1"
"20130101_240000_000000","549_N","Culemborg","Neerslagstation (8-8)","51.931222","5.222944",".6","0","0"
"20130101_240000_000000","550_N","De Bilt","Neerslagstation (8-8)","52.097278","5.177472","2","0","1"
"20130101_240000_000000","557_N","Eerbeek","Neerslagstation (8-8)","52.112","6.066833","14.81","0","1"
"20130101_240000_000000","558_N","Lunteren","Neerslagstation (8-8)","52.088069","5.602111","13.2","0","4"
"20130101_240000_000000","559_N","Vleuten","Neerslagstation (8-8)","52.089694","5.001722",".2","0","1"
"20130101_240000_000000","560_N","Amerongen","Neerslagstation (8-8)","51.997139","5.453583","7.88","0","0"
