"IT_DATETIME","DS_CODE","Q","DS_LON","DS_LAT","SAT","DIFF"
"2010-08-19","283_H",184.953703703704,242041.704143524,454037.790405784,117.812755584717,-67.1409481189869
"2010-08-19","290_H",183.564814814815,257622.560870593,477180.434158967,101.626737851096,-81.9380769637191
"2010-09-11","210_H",179.861111111111,89480.01953647,465113.018934339,112.387650495305,-67.4734606158057
"2010-09-11","240_H",178.935185185185,114260.677736725,481197.802257931,116.665099952419,-62.2700852327658
"2010-09-11","249_H",170.138888888889,127363.134926821,517331.718529087,100.616577800703,-69.5223110881856
"2010-09-11","260_H",184.837962962963,140783.296337002,456758.217135819,112.936141072152,-71.9018218908106
"2010-09-11","267_H",160.648148148148,154739.350173842,545505.315291232,82.4025721940209,-78.2455759541272
"2010-09-11","270_H",144.212962962963,179342.357565474,581888.955837133,78.6623166437281,-65.5506463192349
"2010-09-11","275_H",193.402777777778,188266.381759645,451935.147286289,119.93691033625,-73.4658674415273
"2010-09-11","279_H",168.634259259259,235068.282538229,529718.217110106,100.045539855957,-68.5887194033022
"2010-09-11","283_H",177.314814814815,242041.704143524,454037.790405784,101.283729553223,-76.0310852615922
"2010-09-11","286_H",151.851851851852,272751.726353134,580083.325658519,80.6748535503252,-71.1769983015267
"2010-09-11","290_H",165.277777777778,257622.560870593,477180.434158967,78.1746918505598,-87.103085927218
"2010-09-11","310_H",189.467592592593,30461.9240748967,385117.837940359,123.264437172281,-66.2031554203111
"2010-09-11","323_H",192.361111111111,51814.452727588,394869.822515975,124.300851020949,-68.0602600901624
"2010-09-11","330_H",183.680555555556,68078.9378130265,445503.769950935,103.446966108395,-80.2335894471605
"2010-09-11","344_H",182.75462962963,90374.9934217709,441765.314902848,112.80828261208,-69.9463470175499
"2010-09-11","348_H",190.162037037037,123295.168771252,442405.899488456,122.491842451616,-67.6701945854214
"2010-09-11","350_H",192.939814814815,123664.975782146,397437.07360507,123.896965026855,-69.0428497879593
"2010-09-11","356_H",195.023148148148,138333.907712423,429940.26083475,119.919335146427,-75.1038130017212
"2010-09-11","370_H",193.518518518519,154287.006168567,384515.132036297,125.907911975417,-67.6106065431012
"2010-09-11","375_H",195.486111111111,177105.274510154,407772.030659284,122.295780232713,-73.1903308783986
"2010-09-11","377_H",205.902777777778,181233.068667045,356430.069475497,145.651884874256,-60.250892903522
"2010-09-11","380_H",202.314814814815,181360.456101489,324013.221646563,141.853777052232,-60.4610377625824
"2010-09-12","210_H",112.384259259259,89480.01953647,465113.018934339,34.5907463169029,-77.7935129423564
"2010-09-12","257_H",115.162037037037,101759.646927494,502242.431580299,52.4510816883086,-62.7109553487285
"2010-09-12","267_H",100.810185185185,154739.350173842,545505.315291232,22.8084736080602,-78.001711577125
"2010-09-12","310_H",140.162037037037,30461.9240748967,385117.837940359,25.7269650391437,-114.435071997893
